Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,1
2,324,107,4,4,4.5,8.87,1,1
3,316,104,3,3,3.5,8,1,1
4,322,110,3,3.5,2.5,8.67,1,0
5,314,103,2,2,3,8.21,0,0
6,330,115,5,4.5,3,9.34,1,0
7,321,109,3,3,4,8.2,1,1
8,308,101,2,3,4,7.9,0,0
9,302,102,1,2,1.5,8,0,0
36,320,110,5,5,5,9.2,1,1
37,299,106,2,4,4,8.4,0,1
38,300,105,1,1,2,7.8,0,0
39,304,105,1,3,1.5,7.5,0,0
40,307,108,2,4,3.5,7.7,0,0
41,308,110,3,3.5,3,8,1,0
42,316,105,2,2.5,2.5,8.2,1,0
43,313,107,2,2.5,2,8.5,1,0
44,332,117,4,4.5,4,9.1,0,1
45,326,113,5,4.5,4,9.4,1,1
46,322,110,5,5,4,9.1,1,1
47,329,114,5,4,5,9.3,1,1
48,339,119,5,4.5,4,9.7,0,1
49,321,110,3,3.5,5,8.85,1,1
184,314,110,3,4,4,8.8,0,1
185,316,106,2,2.5,4,8.32,0,1
186,327,113,4,4.5,4.5,9.11,1,1
187,317,107,3,3.5,3,8.68,1,1
188,335,118,5,4.5,3.5,9.44,1,1
189,331,115,5,4.5,3.5,9.36,1,1
190,324,112,5,5,5,9.08,1,1
191,324,111,5,4.5,4,9.16,1,0
192,323,110,5,4,5,8.98,1,0
193,322,114,5,4.5,4,8.94,1,1
194,336,118,5,4.5,5,9.53,1,1
195,316,109,3,3.5,3,8.76,0,1
196,307,107,2,3,3.5,8.52,1,1
197,306,105,2,3,2.5,8.26,0,1
198,310,106,2,3.5,2.5,8.33,0,1
199,311,104,3,4.5,4.5,8.43,0,1
200,313,107,3,4,4.5,8.69,0,0
201,317,103,3,2.5,3,8.54,1,0
202,315,110,2,3.5,3,8.46,1,1
