format,metric,year,number_of_records,value_actual
CD,Value (Adjusted),1973,1,0
CD,Value (Adjusted),1974,1,0
CD,Value (Adjusted),1975,1,0
CD,Value (Adjusted),1976,1,0
CD,Value (Adjusted),1977,1,0
CD,Value (Adjusted),1978,1,0
CD,Value (Adjusted),1979,1,0
CD,Value (Adjusted),1980,1,0
CD,Value (Adjusted),1981,1,0
CD,Value (Adjusted),1982,1,0
CD,Value (Adjusted),1983,1,44.14960241
CD,Value (Adjusted),1984,1,254.180636189
CD,Value (Adjusted),1985,1,925.449828067
CD,Value (Adjusted),1986,1,2169.585544708
CD,Value (Adjusted),1987,1,3586.399605634
CD,Value (Adjusted),1988,1,4516.462927303
CD,Value (Adjusted),1989,1,5335.190475
CD,Value (Adjusted),1990,1,6751.53558684
CD,Value (Adjusted),1991,1,8142.168640969
CD,Value (Adjusted),1992,1,9706.037138275
CD,Value (Adjusted),1993,1,11520.311348097
CD,Value (Adjusted),1994,1,14601.947884615
CD,Value (Adjusted),1995,1,15730.957688976
CD,Value (Adjusted),1996,1,16187.862319312
CD,Value (Adjusted),1997,1,15793.549661682
CD,Value (Adjusted),1998,1,17905.400687117
CD,Value (Adjusted),1999,1,19667.327785714
CD,Value (Adjusted),2000,1,19618.928144599
CD,Value (Adjusted),2001,1,18635.67744664
CD,Value (Adjusted),2002,1,17115.944823235
CD,Value (Adjusted),2003,1,15607.443017935
CD,Value (Adjusted),2004,1,15491.677345156
CD,Value (Adjusted),2005,1,13771.442761905
CD,Value (Adjusted),2006,1,11885.767848214
CD,Value (Adjusted),2007,1,9190.702658466
CD,Value (Adjusted),2008,1,6496.779627316
CD,Value (Adjusted),2009,1,5146.578220074
CD,Value (Adjusted),2010,1,3973.859172873
CD,Value (Adjusted),2011,1,3524.136143132
CD,Value (Adjusted),2012,1,2767.776148872
CD,Value (Adjusted),2013,1,2349.534897314
CD,Value (Adjusted),2014,1,1918.215114615
CD,Value (Adjusted),2015,1,1558.633451938
CD,Value (Adjusted),2016,1,1204.497778348
CD,Value (Adjusted),2017,1,1102.77435245
CD,Value (Adjusted),2018,1,711.041239463
CD,Value (Adjusted),2019,1,614.509779894
CD Single,Value (Adjusted),1973,1,0
CD Single,Value (Adjusted),1974,1,0
CD Single,Value (Adjusted),1975,1,0
CD Single,Value (Adjusted),1976,1,0
CD Single,Value (Adjusted),1977,1,0
CD Single,Value (Adjusted),1978,1,0
CD Single,Value (Adjusted),1979,1,0
CD Single,Value (Adjusted),1980,1,0
CD Single,Value (Adjusted),1981,1,0
CD Single,Value (Adjusted),1982,1,0
CD Single,Value (Adjusted),1983,1,0
CD Single,Value (Adjusted),1984,1,0
CD Single,Value (Adjusted),1985,1,0
CD Single,Value (Adjusted),1986,1,0
CD Single,Value (Adjusted),1987,1,0
CD Single,Value (Adjusted),1988,1,21.178686391
CD Single,Value (Adjusted),1989,1,-1.443225
CD Single,Value (Adjusted),1990,1,11.736358072
CD Single,Value (Adjusted),1991,1,65.885174009
CD Single,Value (Adjusted),1992,1,82.181972202
CD Single,Value (Adjusted),1993,1,81.031768858
CD Single,Value (Adjusted),1994,1,96.77704251
CD Single,Value (Adjusted),1995,1,186.039116142
